,title,year,genre,description,score,soup
0,the kid,1921,"comedy, drama, family","The Tramp cares for an abandoned child, but events put that relationship in jeopardy.",7.330762986442037,"the kid english charles chaplin comedy, drama, family carl miller, edna purviance, jackie coogan, charles chaplin"
1,nosferatu,1922,"fantasy, horror",Vampire Count Orlok expresses interest in a new residence and real estate agent Hutter's wife.,6.9953825640219955,"nosferatu german f.w. murnau fantasy, horror max schreck, gustav von wangenheim, greta schröder, georg h. schnell, ruth landshoff, gustav botz, alexander granach, john gottowt, max nemetz, wolfgang heinz, albert venohr, eric van viele"
2,the gold rush,1925,"adventure, comedy, drama",A prospector goes to the Klondike in search of gold and finds it and more.,7.216280968027329,"the gold rush english charles chaplin adventure, comedy, drama charles chaplin, mack swain, tom murray, henry bergman, malcolm waite, georgia hale"
3,metropolis,1927,"drama, sci-fi","In a futuristic city sharply divided between the working class and the city planners, the son of the city's mastermind falls in love with a working class prophet who predicts the coming of a savior to mediate their differences.",7.5382226754529285,"metropolis german fritz lang drama, sci-fi alfred abel, gustav fröhlich, rudolf klein-rogge, fritz rasp, theodor loos, erwin biswanger, heinrich george, brigitte helm"
4,the general,1926,"action, adventure, comedy","When Union spies steal an engineer's beloved locomotive, he pursues it single-handedly and straight through enemy lines.",7.040491257957846,"the general english clyde bruckman, buster keaton action, adventure, comedy marion mack, glen cavender, jim farley, frederick vroom, charles henry smith, frank barnes, joe keaton, mike donlin, tom nawn, buster keaton"
5,city lights,1931,"comedy, drama, romance","With the aid of a wealthy erratic tippler, a dewy-eyed tramp who has fallen in love with a sightless flower girl accumulates money to be able to help her medically.",7.690041100255118,"city lights english charles chaplin comedy, drama, romance virginia cherrill, florence lee, harry myers, al ernest garcia, hank mann, charles chaplin"
6,m - eine stadt sucht einen mörder,1931,"crime, mystery, thriller","When the police in a German city are unable to catch a child-murderer, other criminals join in the manhunt.",7.476690777848846,"m - eine stadt sucht einen mörder german fritz lang crime, mystery, thriller peter lorre, ellen widmann, inge landgut, otto wernicke, theodor loos, gustaf gründgens, friedrich gnaß, fritz odemar, paul kemp, theo lingen, rudolf blümner, georg john, franz stein, ernst stahl-nachbaur, gerhard bienert"
7,king kong,1933,"adventure, horror, sci-fi",A film crew goes to a tropical island for an exotic location shoot and discovers a colossal ape who takes a shine to their female blonde star. He is then captured and brought back to New York City for public exhibition.,6.946635149435253,"king kong english merian c. cooper, ernest b. schoedsack adventure, horror, sci-fi fay wray, robert armstrong, bruce cabot, frank reicher, sam hardy, noble johnson, steve clemente, james flavin, king kong"
8,it happened one night,1934,"comedy, romance",A spoiled heiress running away from her family is helped by a man who is actually a reporter in need of a story.,7.128235007061368,"it happened one night english frank capra comedy, romance clark gable, claudette colbert, walter connolly, roscoe karns, jameson thomas, alan hale, arthur hoyt, blanche friderici, charles c. wilson"
9,modern times,1936,"comedy, drama, family",The Tramp struggles to live in modern industrial society with the help of a young homeless woman.,7.826749237016834,"modern times english charles chaplin comedy, drama, family charles chaplin, paulette goddard, henry bergman, tiny sandford, chester conklin, hank mann, stanley blystone, al ernest garcia, richard alexander, cecil reynolds, mira mckinney, murdock macquarrie, wilfred lucas, edward lesaint, fred malatesta"
10,snow white and the seven dwarfs,1937,"animation, family, fantasy","Exiled into the dangerous forest by her wicked stepmother, a princess is rescued by seven dwarf miners who make her part of their household.",7.108627736901754,"snow white and the seven dwarfs english william cottrell, david hand animation, family, fantasy roy atwell, stuart buchanan, adriana caselotti, eddie collins, pinto colvig, marion darlington, billy gilbert, otis harlan, lucille la verne, james macdonald, scotty mattraw, moroni olsen, purv pullen, harry stockwell"
11,gone with the wind,1939,"drama, history, romance",A manipulative woman and a roguish man conduct a turbulent romance during the American Civil War and Reconstruction periods.,7.651364637495759,"gone with the wind english victor fleming, george cukor drama, history, romance thomas mitchell, barbara o'neil, vivien leigh, evelyn keyes, ann rutherford, george reeves, fred crane, hattie mcdaniel, oscar polk, butterfly mcqueen, victor jory, everett brown, howard hickman, alicia rhett, leslie howard"
12,mr. smith goes to washington,1939,"comedy, drama","A naive man is appointed to fill a vacancy in the United States Senate. His plans promptly collide with political corruption, but he doesn't back down.",7.20507541557183,"mr. smith goes to washington english frank capra comedy, drama jean arthur, james stewart, claude rains, edward arnold, guy kibbee, thomas mitchell, eugene pallette, beulah bondi, h.b. warner, harry carey, astrid allwyn, ruth donnelly, grant mitchell, porter hall, h.v. kaltenborn"
13,the wizard of oz,1939,"adventure, family, fantasy",Dorothy Gale is swept away from a farm in Kansas to a magical land of Oz in a tornado and embarks on a quest with her new friends to see the Wizard who can help her return home to Kansas and help her friends as well.,7.659849389282656,"the wizard of oz english victor fleming, george cukor adventure, family, fantasy judy garland, frank morgan, ray bolger, bert lahr, jack haley, billie burke, margaret hamilton, charley grapewin, pat walshe, clara blandick, terry, the singer midgets"
14,fantasia,1940,"animation, family, fantasy",A collection of animated interpretations of great works of Western classical music.,6.943288783658016,"fantasia english james algar, samuel armstrong animation, family, fantasy leopold stokowski, deems taylor"
15,the grapes of wrath,1940,"drama, history","A poor Midwest family is forced off their land. They travel to California, suffering the misfortunes of the homeless in the Great Depression.",7.046076128344221,"the grapes of wrath english john ford drama, history henry fonda, jane darwell, john carradine, charley grapewin, dorris bowdon, russell simpson, o.z. whitehead, john qualen, eddie quillan, zeffie tilbury, frank sully, frank darien, darryl hickman, shirley mills, roger imhof"
16,the great dictator,1940,"comedy, drama, war",Dictator Adenoid Hynkel tries to expand his empire while a poor Jewish barber tries to avoid persecution from Hynkel's regime.,7.797043354604747,"the great dictator english, esperanto charles chaplin comedy, drama, war charles chaplin, jack oakie, reginald gardiner, henry daniell, billy gilbert, grace hayle, carter dehaven, paulette goddard, maurice moscovitch, emma dunn, bernard gorcey, paul weigel, chester conklin, esther michelson, hank mann"
17,pinocchio,1940,"animation, comedy, family","A living puppet, with the help of a cricket as his conscience, must prove himself worthy to become a real boy.",6.856715972842149,"pinocchio english norman ferguson, t. hee animation, comedy, family mel blanc, don brodie, stuart buchanan, walter catlett, marion darlington, frankie darro, cliff edwards, dickie jones, charles judels, john mcleish, patricia page, christian rub, evelyn venable"
18,rebecca,1940,"drama, mystery, romance",A self-conscious woman juggles adjusting to her new role as an aristocrat's wife and avoiding being intimidated by his first wife's spectral presence.,7.269524823249846,"rebecca english, french alfred hitchcock drama, mystery, romance laurence olivier, joan fontaine, george sanders, judith anderson, nigel bruce, reginald denny, c. aubrey smith, gladys cooper, florence bates, melville cooper, leo g. carroll, leonard carey, lumsden hare, edward fielding, philip winter"
19,citizen kane,1941,"drama, mystery","Following the death of publishing tycoon, Charles Foster Kane, reporters scramble to uncover the meaning of his final utterance; 'Rosebud'.",7.923426226805138,"citizen kane english, italian orson welles drama, mystery joseph cotten, dorothy comingore, agnes moorehead, ruth warrick, ray collins, erskine sanford, everett sloane, william alland, paul stewart, george coulouris, fortunio bonanova, gus schilling, philip van zandt, georgia backus, harry shannon"
20,dumbo,1941,"animation, drama, family","Ridiculed because of his enormous ears, a young circus elephant is assisted by a mouse to achieve his full potential.",6.70738263687976,"dumbo english samuel armstrong, norman ferguson animation, drama, family herman bing, billy bletcher, edward brophy, hall johnson choir, cliff edwards, verna felton, noreen gammill, eddie holden, sterling holloway, malcolm hutton, james macdonald, harold manley, john mcleish, jack mercer, tony neil"
21,the maltese falcon,1941,"film-noir, mystery","A private detective takes on a case that involves him with three eccentric criminals, a gorgeous liar, and their quest for a priceless statuette.",7.316551109059178,"the maltese falcon english john huston film-noir, mystery humphrey bogart, mary astor, gladys george, peter lorre, barton maclane, lee patrick, sydney greenstreet, ward bond, jerome cowan, elisha cook jr., james burke, murray alper, john hamilton"
22,bambi,1942,"animation, drama, family",The story of a young deer growing up in the forest.,6.79786986293859,"bambi english james algar, samuel armstrong animation, drama, family hardie albright, stan alexander, bobette audrey, peter behn, thelma boardman, janet chapman, jeanne christy, dolyn bramston cook, marion darlington, tim davis, donnie dunagan, sam edwards, ann gillis, otis harlan, eddie holden"
23,casablanca,1942,"drama, romance, war",A cynical American expatriate struggles to decide whether or not he should help his former lover and her fugitive husband escape French Morocco.,8.176453571227372,"casablanca english, french, german, italian michael curtiz drama, romance, war humphrey bogart, ingrid bergman, paul henreid, claude rains, conrad veidt, sydney greenstreet, peter lorre, s.z. sakall, madeleine lebeau, dooley wilson, joy page, john qualen, leonid kinskey, curt bois"
24,kate & leopold,2001,"comedy, fantasy, romance",An English Duke from 1876 is inadvertedly dragged to modern day New York where he falls for a plucky advertising executive.,6.171683546073987,"kate & leopold english, french james mangold comedy, fantasy, romance meg ryan, hugh jackman, liev schreiber, breckin meyer, natasha lyonne, bradley whitford, paxton whitehead, spalding gray, josh stamberg, matthew sussman, charlotte ayanna, philip bosco, andrew jack, stan tracy, kristen schaal"
25,double indemnity,1944,"crime, drama, film-noir",An insurance representative lets himself be talked by a seductive housewife into a murder/insurance fraud scheme that arouses the suspicion of an insurance investigator.,7.476503439828501,"double indemnity english billy wilder crime, drama, film-noir fred macmurray, barbara stanwyck, edward g. robinson, porter hall, jean heather, tom powers, byron barr, richard gaines, fortunio bonanova, john philliber"
26,the big sleep,1946,"crime, film-noir, mystery","Private detective Philip Marlowe is hired by a rich family. Before the complex case is over, he's seen murder, blackmail, and what might be love.",6.945510997972287,"the big sleep english howard hawks crime, film-noir, mystery humphrey bogart, lauren bacall, john ridgely, martha vickers, dorothy malone, peggy knudsen, regis toomey, charles waldron, charles d. brown, bob steele, elisha cook jr., louis jean heydt"
27,it's a wonderful life,1946,"drama, family, fantasy",An angel is sent from Heaven to help a desperately frustrated businessman by showing him what life would have been like if he had never existed.,8.170751014003043,"it's a wonderful life english, french frank capra drama, family, fantasy james stewart, donna reed, lionel barrymore, thomas mitchell, henry travers, beulah bondi, frank faylen, ward bond, gloria grahame, h.b. warner, frank albertson, todd karns, samuel s. hinds, mary treen, virginia patton"
28,notorious,1946,"drama, film-noir, romance",A woman is asked to spy on a group of Nazi friends in South America. How far will she have to go to ingratiate herself with them?,7.017522947683216,"notorious english, french, portuguese alfred hitchcock drama, film-noir, romance cary grant, ingrid bergman, claude rains, louis calhern, leopoldine konstantin, reinhold schünzel, moroni olsen, ivan triesault, alexis minotis, wally brown, charles mendl, ricardo costa, e.a. krumschmidt, fay baker"
29,ladri di biciclette,1948,drama,"In post-war Italy, a working-class man's bicycle is stolen. He and his son set out to find it.",7.4773864398474625,"ladri di biciclette italian, english vittorio de sica drama lamberto maggiorani, enzo staiola, lianella carell, elena altieri, gino saltamerenda, giulio chiari, vittorio antonucci, michele sakara, fausto guerzoni, emma druetti, carlo jachino"
30,rope,1948,"crime, drama, mystery",Two men attempt to prove they committed the perfect crime by hosting a dinner party after strangling their former classmate to death.,7.2277558068694425,"rope english alfred hitchcock crime, drama, mystery dick hogan, john dall, farley granger, edith evanson, douglas dick, joan chandler, cedric hardwicke, constance collier, james stewart"
31,the treasure of the sierra madre,1948,"adventure, drama, western",Two Americans searching for work in Mexico convince an old prospector to help them mine for gold in the Sierra Madre Mountains.,7.295199818358565,"the treasure of the sierra madre english, spanish john huston adventure, drama, western humphrey bogart, walter huston, tim holt, bruce bennett, barton maclane, alfonso bedoya, arturo soto rangel, manuel dondé, josé torvay, margarito luna"
32,the third man,1949,"film-noir, mystery, thriller","Pulp novelist Holly Martins travels to shadowy, postwar Vienna, only to find himself investigating the mysterious death of an old friend, Harry Lime.",7.403400185056335,"the third man english, german, russian carol reed film-noir, mystery, thriller joseph cotten, alida valli, orson welles, trevor howard, bernard lee, paul hörbiger, ernst deutsch, siegfried breuer, erich ponto, wilfrid hyde-white, hedwig bleibtreu"
33,all about eve,1950,drama,An ingénue insinuates herself into the lives of an established but aging stage actress and her circle of theater friends.,7.325463890345022,"all about eve english, french joseph l. mankiewicz drama bette davis, anne baxter, george sanders, celeste holm, gary merrill, hugh marlowe, gregory ratoff, barbara bates, marilyn monroe, thelma ritter, walter hampden, randy stuart, craig hill, leland harris, barbara white"
